Date,Time,Hostname,Module,Severity,Mnemonic,Message
2024-01-15,10:23:45,USG6000-FW,SEC,Warning,LOGINFAIL,User admin login fail from 10.1.1.5 via SSH
2024-01-15,10:25:12,USG6000-FW,SEC,Warning,LOGINFAIL,User root login fail from 192.168.3.11 via TELNET
2024-01-15,10:30:01,USG6000-FW,AAA,Notification,PRIVILEGE,User manager privilege raised from 3 to 15
2024-01-15,10:45:00,USG6000-FW,CFG,Informational,CONFIG,System-view entered from VTY 0 (10.2.2.4)
2024-01-15,10:46:20,USG6000-FW,CFG,Informational,COMMIT,Configuration commit by user admin saved to startup
2024-01-15,11:02:33,USG6000-FW,IFNET,Notification,STATE,Interface GigabitEthernet0/0/3 physical state changed to down
2024-01-15,11:03:10,USG6000-FW,IFNET,Notification,STATE,Interface GigabitEthernet0/0/3 link state changed to down
2024-01-15,11:10:55,USG6000-FW,SEC,Critical,ATK,Syn flood attack detected from 203.0.113.14 targeting 10.5.5.1:443
2024-01-15,11:11:02,USG6000-FW,SEC,Alert,ATTACK,DDoS UDP flood source 198.51.100.0/24 detected by engine 1
2024-01-15,11:30:00,USG6000-FW,SEC,Warning,SCAN,Port scan detected from 192.0.2.77 against ports 21,22,23,3389
2024-01-15,12:00:00,USG6000-FW,AAA,Notification,LOGIN,User monitor login success from 10.1.1.8
2024-01-15,12:05:15,USG6000-FW,CMD,Informational,SAVE,Configuration saved by user admin via serial console
